hop,count
436,2802
437,2790
438,2752
439,2746
440,2787
441,2835
442,2784
443,2789
444,2868
445,2883
446,2786
447,2838
448,2796
449,2908
450,2879
451,2916
452,2913
453,2884
454,2799
455,2889
456,2850
457,2838
458,2849
459,3003
460,2986
461,2970
462,2934
463,2900
464,2847
465,2753
466,2708
467,2805
468,2660
469,2710
470,2692
471,2659
472,2724
473,2719
474,2731
475,2694
476,2669
477,2686
478,2759
479,2766
480,2803
481,2842
482,2859
483,2941
484,2960
485,2778
486,2854
487,2876
488,2877
489,2933
490,2920
491,2871
492,2807
493,2747
494,2642
495,2651
496,2693
497,2790
498,2824
499,2890
500,2940
501,3076
502,3027
503,2895
504,2850
505,2845
506,2940
507,3068
508,3114
509,3107
510,3045
511,3028
512,3002
513,2970
514,2957
515,2853
516,2794
517,2840
518,2959
519,2828
520,2920
521,3036
522,3072
523,3025
524,3050
525,3095
526,3072
527,3071
528,3104
529,3156
530,3134
531,3127
532,2996
533,3012
534,3008
535,3033
536,3018
537,3142
538,3160
539,3155
540,3237
541,3295
542,3237
543,3240
544,3202
545,3299
546,3269
547,3148
548,3218
549,3141
550,3085
551,3141
552,3110
553,3231
554,3244
555,3249
556,3428
557,3390
558,3422
559,3404
560,3411
561,3414
562,3344
563,3395
564,3436
565,3406
566,3309
567,3417
568,3325
569,3345
570,3471
571,3458
572,3499
573,3584
574,3594
575,3578
576,3580
577,3631
578,3493
579,3592
580,3582
581,3609
582,3529
583,3507
584,3451
585,3490
586,3423
587,3300
588,3332
589,3403
590,3542
591,3608
592,3636
593,3636
594,3667
595,3509
596,3487
597,3527
598,3438
599,3589
600,3662
601,3837
602,3655
603,3696
604,3654
605,3770
606,3803
607,3680
608,3616
609,3628
610,3671
611,3792
612,3836
613,3772
614,3738
615,3653
616,3880
617,3803
618,3834
619,3909
620,3900
621,3850
622,3840
623,4000
624,3891
625,3799
626,3801
627,3761
628,3802
629,3739
630,3854
631,3891
632,4008
633,3858
634,4042
635,4094
636,4068
637,4007
638,4084
639,4075
640,4173
641,4003
642,4018
643,3939
644,3812
645,3761
646,3791
647,3901
648,3866
649,3994
650,4074
651,4105
652,4077
653,4037
654,3941
655,3878
656,3933
657,3878
658,3955
659,3917
660,3806
661,3791
662,3808
663,3783
664,3850
665,3776
666,3816
667,3827
668,3849
669,3820
670,3772
671,3679
672,3622
673,3739
674,3656
675,3601
676,3802
677,3753
678,3735
679,3706
680,3595
681,3592
682,3664
683,3746
684,3699
685,3615
686,3476
687,3518
688,3519
689,3511
690,3401
691,3447
692,3456
693,3397
694,3419
695,3454
696,3376
697,3423
698,3450
699,3499
700,3473
701,3436
702,3408
703,3517
704,3291
705,3294
706,3288
707,3310
708,3300
709,3306
710,3377
711,3320
712,3336
713,3298
714,3206
715,3271
716,3258
717,3336
718,3282
719,3272
720,3174
721,3236
722,3320
723,3410
724,3451
725,3454
726,3478
727,3697
728,3674
729,3598
730,3630
731,3644
732,3464
733,3415
734,3470
735,3664
736,3642
737,3678
738,3590
739,3576
740,3550
741,3570
742,3615
743,3632
744,3734
745,3803
746,3729
747,3672
748,3548
749,3488
750,3416
751,3526
752,3564
753,3412
754,3463
755,3504
756,3528
757,3598
758,3707
759,3789
760,3896
761,3736
762,3608
763,3864
764,3925
765,3848
766,3887
767,4002
768,4084
769,4011
770,3943
771,3957
772,3974
773,3946
774,3929
775,4016
776,3986
777,3972
778,3885
779,3908
780,3883
781,3892
782,3993
783,3937
784,3918
785,3991
786,3849
787,3874
788,3877
789,3813
790,3815
791,3689
792,3580
793,3487
794,3541
795,3389
796,3445
797,3364
798,3416
799,3507
800,3391
801,3357
802,3405
803,3447
804,3459
805,3451
806,3510
807,3557
808,3589
809,3628
810,3633
811,3722
812,3730
813,3618
814,3495
815,3396
816,3478
817,3442
818,3514
819,3603
820,3567
821,3484
822,3401
823,3475
824,3530
825,3608
826,3508
827,3585
828,3487
829,3715
830,3698
831,3697
832,3746
833,3766
834,3751
835,3676
836,3771
837,3756
838,3705
839,3646
840,3638
841,3578
842,3702
843,3640
844,3711
845,3802
846,3793
847,3610
848,3697
849,3659
850,3469
851,3571
852,3514
853,3513
854,3458
855,3556
856,3571
857,3518
858,3588
859,3730
860,3555
861,3652
862,3652
863,3584
864,3540
865,3517
866,3494
867,3431
868,3382
869,3305
870,3386
871,3468
872,3472
873,3438
874,3454
875,3501
876,3467
877,3699
878,3580
879,3382
880,3424
881,3430
882,3567
883,3551
884,3407
885,3558
886,3565
887,3609
888,3528
889,3433
890,3508
891,3611
892,3538
893,3548
894,3570
895,3784
896,3800
897,3781
898,3872
899,3843
900,3819
901,3825
902,3999
903,4008
904,3976
905,4133
906,4223
907,4299
908,4306
909,4244
910,4195
911,4218
912,4325
913,4279
914,4360
915,4222
916,4231
917,4211
918,4332
919,4269
920,4220
921,4216
922,4315
923,4209
924,4346
925,4189
926,4216
927,4100
928,4156
929,4264
930,4335
931,4222
932,4255
933,4194
934,4218
935,4122
936,4185
937,4152
938,4289
939,4373
940,4359
941,4353
942,4259
943,4099
944,3938
945,3848
946,3830
947,3850
948,3856
949,3875
950,3872
951,3970
952,3962
953,4070
954,4085
955,4187
956,4190
957,4087
958,4205
959,4112
960,4210
961,4209
962,4188
963,4051
964,3967
965,4013
966,4161
967,4204
968,4204
969,4140
970,4223
971,4160
972,4166
973,4178
974,4107
975,4119
976,4202
977,4138
978,4122
979,4096
980,4095
981,4151
982,4209
983,4258
984,4148
985,4134
986,4179
987,4261
988,4294
989,4182
990,4245
991,4152
992,4145
993,4085
994,4182
995,4255
996,4399
997,4396
998,4281
999,4207
1000,4194
1001,4270
1002,4233
1003,4196
1004,4183
1005,4144
1006,4296
1007,4314
1008,4233
1009,4322
1010,4288
1011,4245
1012,4366
1013,4232
1014,4319
1015,4437
1016,4388
1017,4371
1018,4228
1019,4283
1020,4295
1021,4418
1022,4463
1023,4354
1024,4312
1025,4305
1026,4234
1027,4569
1028,4666
1029,4577
1030,4537
1031,4441
1032,4442
1033,4540
1034,4450
1035,4525
1036,4459
1037,4439
1038,4408
1039,4254
1040,4208
1041,4339
1042,4335
1043,4274
1044,4110
1045,3995
1046,3935
1047,4024
1048,3988
1049,3927
1050,3799
1051,3836
1052,3791
1053,3852
1054,3819
1055,3817
1056,3814
1057,3823
1058,3888
1059,3764
1060,3846
1061,3884
1062,3690
1063,3779
1064,3703
1065,3654
1066,3639
1067,3643
1068,3733
1069,3794
1070,3760
1071,3705
1072,3667
1073,3715
1074,3870
1075,3867
1076,3984
1077,3944
1078,4054
1079,4058
1080,3977
1081,4027
1082,3920
1083,3824
1084,3884
1085,3914
1086,3842
1087,3780
1088,3842
1089,3872
1090,4006
1091,4014
1092,3961
1093,3990
1094,3888
1095,3973
1096,4016
1097,3908
1098,3973
1099,3968
1100,4037
1101,4160
1102,4128
1103,4069
1104,4052
1105,3920
1106,3885
1107,3854
1108,3830
1109,3977
1110,3925
1111,3898
1112,3928
1113,3940
1114,4138
1115,4024
1116,3856
1117,3982
1118,4108
1119,3966
1120,3798
1121,3764
1122,3850
1123,3838
1124,3934
1125,3948
1126,3952
1127,3916
1128,3927
1129,3934
1130,4055
1131,4060
1132,4129
1133,4207
1134,4205
1135,4136
1136,4131
1137,4186
1138,4223
1139,3995
1140,4072
1141,4007
1142,3967
1143,4029
1144,4000
1145,3896
1146,3903
1147,3880
1148,4007
1149,4099
1150,4271
1151,4284
1152,4205
1153,4215
1154,4205
1155,4154
1156,4212
1157,4316
1158,4497
1159,4451
1160,4425
1161,4495
1162,4389
1163,4523
1164,4512
1165,4598
1166,4615
1167,4486
1168,4586
1169,4703
1170,4668
1171,4618
1172,4708
1173,4585
1174,4594
1175,4641
1176,4790
1177,4712
1178,4837
1179,4933
1180,4985
1181,5108
1182,5088
1183,4995
1184,4911
1185,5018
1186,5072
1187,5146
1188,5142
1189,5257
1190,5196
1191,5195
1192,5095
1193,5234
1194,5141
1195,5071
1196,4997
1197,5136
1198,5201
1199,5278
1200,5329
1201,5299
1202,5235
1203,5169
1204,5096
1205,4753
1206,4702
1207,4877
1208,4806
1209,4759
1210,4775
1211,4797
1212,4721
1213,4725
1214,4787
1215,4771
1216,4819
1217,4854
1218,4864
1219,4746
1220,4838
1221,4797
1222,4831
1223,4796
1224,4743
1225,4664
1226,4572
1227,4591
1228,4661
1229,4734
1230,4873
1231,4686
1232,4652
1233,4648
1234,4718
1235,4729
1236,4816
1237,4794
1238,4903
1239,4833
1240,4960
1241,5123
1242,5046
1243,4986
1244,5066
1245,4913
1246,4915
1247,4967
1248,4949
1249,4871
1250,4926
1251,4882
1252,4880
1253,4841
1254,4755
1255,4766
1256,4911
1257,4982
1258,4991
1259,4975
1260,4939
1261,4990
1262,5121
1263,5026
1264,4988
1265,4988
1266,5159
1267,4989
1268,5026
1269,5005
1270,4990
1271,4953
1272,5007
1273,4951
1274,5098
1275,4883
1276,5052
1277,5088
1278,5134
1279,5036
